"no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF","no stimulus","1 pM NGF","10pM NGF","100pM NGF","1nM NGF","10 nM NGF",
1.2331,2.6367,2.8402,0.6574,1.4327,2.3191,822.8337,160.7062,679.1857,304.8031,751.9075,648.6605,1.0000
1.0253,1.0391,1.4565,0.8002,0.9037,1.1572,572.7964,549.0047,964.2372,176.4177,155.3194,303.0075,1.0000
1.3020,1.0985,1.1867,1.2130,4.2992,1.1234,980.8465,604.6683,267.9933,553.0448,668.4121,298.0696,1.0000
0.8798,1.1398,1.0464,1.6837,1.4486,1.1413,603.7705,1106.5385,251.8329,208.2896,1218.3146,379.3205,1.0000
0.8981,0.8680,1.1876,4.5600,2.9695,1.2403,536.8844,648.2116,341.1640,535.0888,419.7215,230.2857,1.0000
1.1440,1.0297,5.9315,0.8934,9.4497,12.6546,741.1339,840.3408,363.6090,273.3801,583.1211,582.6722,1.0000
1.0806,1.1764,1.4531,1.4911,1.0577,10.1313,979.0509,675.1456,408.4990,557.0849,242.8549,596.5881,1.0000
0.8844,1.0204,1.0201,2.1306,1.0530,1.1748,942.2411,858.2968,180.0089,643.7226,265.7488,456.5313,1.0000
0.6667,1.0992,1.1722,1.6959,1.0421,12.0950,1192.7273,783.3305,366.7513,706.1197,261.7087,817.8958,1.0000
0.7936,1.0145,1.6050,1.0711,1.6444,2.0359,565.1651,281.9092,849.3188,273.3801,607.3617,179.5600,1.0000
0.6012,0.8516,1.0850,0.9917,1.5846,12.9150,332.6349,687.7148,364.0579,301.2119,526.1108,865.9281,1.0000
0.5987,0.9600,4.4206,1.5958,1.6588,3.9349,957.9526,405.8056,552.5959,677.8390,799.9398,250.0373,1.0000
0.8569,0.9063,1.0907,1.1182,5.3264,2.8202,532.8443,226.6945,317.8212,232.0813,1014.0651,328.5948,1.0000
1.3668,0.8597,1.0046,1.9309,1.6998,9.3207,550.8003,151.2793,219.0632,459.6736,835.8518,263.5043,1.0000
0.5942,0.7518,1.7403,1.1925,5.7221,9.1386,252.7307,374.3826,1183.7493,232.0813,179.5600,678.7368,1.0000
0.6672,0.9359,1.5805,1.4694,4.9122,1.4404,393.6853,860.5413,1147.3884,781.9838,535.9866,920.6939,1.0000
0.5341,0.9823,0.7030,1.6906,1.3170,1.4223,184.4979,958.8504,164.7463,645.0693,704.3241,179.5600,1.0000
